,state,pop
0,California,39148760.0
1,Wyoming,581836.0
2,Ohio,11641879.0
3,Kentucky,4440204.0
4,Washington,7294336.0
5,New York,19618453.0
6,Puerto Rico,3386941.0
7,Tennessee,6651089.0
8,Rhode Island,1056611.0
9,Illinois,12821497.0
10,Vermont,624977.0
11,Arkansas,2990671.0
12,Oregon,4081943.0
13,Virginia,8413774.0
14,Wisconsin,5778394.0
15,Mississippi,2988762.0
16,Hawaii,1421954.0
17,Colorado,5531141.0
18,Texas,27885195.0
19,District of Columbia,684498.0
20,New Mexico,2092434.0
21,Pennsylvania,12791181.0
22,Florida,20598139.0
23,Kansas,2908776.0
24,Indiana,6637426.0
25,Alaska,736384.0
26,Maryland,6003435.0
27,Idaho,1687809.0
28,Arizona,6946685.0
