state,pop
California,39148760.0
Wyoming,581836.0
Ohio,11641879.0
Kentucky,4440204.0
Maryland,6003435.0
Minnesota,5527358.0
New York,19618453.0
Colorado,5531141.0
Iowa,3132499.0
North Dakota,752201.0
Pennsylvania,12791181.0
South Carolina,4955925.0
Michigan,9957488.0
Massachusetts,6801779.0
New Jersey,8881845.0
Texas,27885195.0
Vermont,624977.0
Virginia,8413774.0
Florida,20598139.0
District of Columbia,684498.0
Delaware,949495.0
West Virginia,1829054.0
Nebraska,1904760.0
Idaho,1687809.0
Louisiana,4663616.0
Hawaii,1421954.0
Nevada,2922849.0
Alaska,736384.0
Rhode Island,1056611.0
Tennessee,6651089.0
Arkansas,2990671.0
Wisconsin,5778394.0
North Carolina,10155624.0
